G;;INTERVENTI DI PICCOLA MANUTENZIONE;;;;;
G;1.03.4;Apertura di vani porta e similari (dimensione indicativa da cm 100x100 a cm 200x250) su tavolati in mattoni pieni o forati, compresa fornitura e posa falso telaio, rappezzi a raccordo dell'esistente sul perimetro, sui due lati, per singoli o più interventi ma limitati e circoscritti, comprese immorsature e piani di lavoro, in:;;;;;
G;1.03.4.a;forato 8 cm;mq;€ 183,40;;;
G;1.03.4.b;forato 12 cm;mq;€ 198,19;;;
G;1.03.4.c;mattone pieno 6 cm;mq;€ 203,78;;;
G;1.03.4.d;mattone pieno 11 cm;mq;€ 221,39;;;
;;;;;;;
G;1.03.5;"Apertura di vani finestra, porta finestra, porta e similari (dimensione indicativa da cm 100x100 a cm 200x250) su murature portanti perimetrali o interne, compresa posa falso telaio, riquadratura con muratura in blocchi svizzeri o foratoni semiportanti, esecuzione intonaco di finitura e rappezzi a raccordo dell'esistente sul perimetro, sui due lati; per singoli o più interventi ma limitati e circoscritti, comprese immorsature e piani di lavoro, in:";;;;;
G;1.03.5.a;spessore finito da 13 a 20 cm;mq;€ 283,80;;;
G;1.03.5.b;spessore finito da 21 a 30 cm;mq;€ 350,78;;;
G;1.03.5.c;spessore finito da 31 a 40 cm;mq;€ 404,79;;;
G;1.03.5.d;spessore finito da 41 a 50 cm;mq;€ 456,98;;;
;;;;;;;
G;1.03.6;Pareti in blocchi di gesso, pieni o forati, per singoli o più interventi ma limitati e circoscritti per divisori, chiusura vani, compresa stuccatura dei giunti;;;;;
G;1.03.6.a;spessore 6 cm;mq;€ 40,70;;;
G;1.03.6.b;spessore 8 cm;mq;€ 41,87;;;
G;1.03.6.c;spessore 10 cm;mq;€ 43,33;;;
;;;;;;;
G;1.03.7;Controparete in lastre gesso rivestito, a bordi assottigliati, spessore 13 mm, per singoli o più interventi ma limitati e circoscritti per pareti isolate, chiusure vani.;mq;€ 33,50;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;1.04;INTONACI;;;;;
;;;;;;;
G;1.04.1;Verifica di stabilità degli intonaci con battitura e delimitazione con segno colorato della zona da rimuovere, compresi i piani di lavoro:;;;;;
G;1.04.1.a;su pareti esterne di facciata, con disponibilità di ponteggio, compresi eventuali piani di lavoro integrativi;mq;€ 1,62;;;
G;1.04.1.b;su soffitti in locali con altezza fino a 5 m, compreso montaggio e smontaggio trabatello, spostamento e copertura di piccolle suppellettili presenti;mq;€ 5,18;;;
G;1.04.1.c;su pareti interne di locali con altezza fino a 5 m, compreso montaggio e smontaggio piani di lavoro, spostamento e copertura di piccolle suppellettili presenti;mq;€ 3,82;;;
G;;;;;;;
G;1.04.2;Consolidamento di supporti deboli, inconsistenti, sfarinanti, assorbenti, con primer a base di resina poliuretanica in soluzione, applicato a pennello o rullo;mq;€ 4,80;;;
;;;;;;;
G;1.04.3;"Ripresa saltuaria dell'intonaco diffusamente ammalorato su pareti e soffitti interni. Compresi: l'ispezione dell'intera superficie, lo scrostamento dell'intonaco deteriorato fino al vivo della muratura compresa la scarnitura dei giunti; l'abbassamento, il carico e trasporto delle macerie agli impianti di stoccaggio, di recupero o a discarica; la pulizia ed il lavaggio delle superfici da ripristinare; l'intonaco di sottofondo e di finitura al civile; i piani di lavoro; il";;;;;
;;maggior onere di mano d'opera conseguente agli apprestamenti, alle preparazioni, agli spostamenti.;;;;;
;;Misurazione: intera superficie intonacata da risanare valutata a metro quadrato vuoto per pieno con deduzione dei singoli vani con superficie pari o superiore a 4,00 m² e con compensazione delle riquadrature.;;;;;
;;Per rappezzi :;;;;;
G;1.04.3.a;fino al 5% della superficie;mq;€ 4,79;;;
G;1.04.3.b;fino al 10% della superficie;mq;€ 9,49;;;
G;1.04.3.c;fino al 20% della superficie;mq;€ 18,98;;;
G;1.04.3.d;fino al 30% della superficie;mq;€ 29,98;;;
;;;;;;;
G;1.04.4;"Ripresa localizzata di intonaco ammalorato su pareti e soffitti interni. Sono compresi: lo scrostamento dell'intonaco deteriorato con abbassamento, carico e trasporto delle macerie ad impianti di stoccaggio, di recupero o a discarica; la pulizia ed il lavaggio della superficie, il rinzaffo con malta cementizia; i piani di lavoro; il maggior onere di mano d'opera conseguente agli apprestamenti e alle preparazioni. Esclusi gli oneri di smaltimento. Misurazione: superficie effettivamente ripristinata.";;;;;
