B;1;LAVORI  STRADALI E INFRASTRUTTURE A RETE;;;;;
;;;;;;;
;;;;;;;
;;PREMESSA;;;;;
;;Per tutte le categorie di lavori non comprese nel presente capitolo, dovranno essere adottati i prezzi dei capitoli di opere edili, con eventuali maggiorazioni o riduzioni se stabilite dal Capitolato Speciale d'Appalto.;;;;;
;;;;;;;
B;1.01.;TRATTAMENTI SU OPERE ESISTENTI;;;;;
;;;;;;;
B;1.03.2.b.;dello spessore di 5,0 cm;mq;€ 4,03;;;
;;;;;;;
B;1.03.3.;Fondazione stradale compresa la fornitura dei materiali, prove di laboratorio, lavorazione e costipamento dello strato con idonee macchine in modo da raggiunte il 98% della prova AASHO modificata oppure in Md pari a 800 Kg/cmq. secondo le norme del C. N. R. relative alla prova alla piastra, compresi altresì ogni lavorazione ed onere per dare il lavoro compiuto secondo le modalità prescritte e quanto altro occorre per dare il lavoro finito a regola d’arte, misurato a materiale costipato:;;;;;
B;1.03.3.a;in pozzolana grezza;mc;€ 35,78;;;
B;1.03.3.b.;in misto granulare naturale;mc;€ 35,95;;;
B;1.03.3.c.;in misto granulare stabilizzato di cava con legante naturale, compresa la fornitura dei materiali di apporto e la vagliatura per raggiungere idonea granulometria;mc;€ 44,93;;;
B;1.03.3.d.;in misto granulare riciclato conforme alla norma UNI;mc;€ 39,20;;;
;;;;;;;
B;1.03.4.;Fondazione stradale in pozzolana stabilizzata di tipo energetico con aggiunta di calce idrata, compresa la fornitura dei materiali, prove di laboratorio, lavorazione e costipamento dello strato con idonee macchine, in modo da raggiungere  il 98% della prova AASHO modificata, compresa la miscelazione e polverizzazione  dei materiali, la stesa e configurazione della miscela  ed ogni lavorazione ed onere per dare il lavoro compiuto secondo le modalità prescritte e quanto altro occorre per dare il lavoro finito a regola d’arte, misurato a materiale costipato:;;;;;
B;1.03.4.a;con l’aggiunta di calce idrata nella proporzione di 50 Kg. per mc. di pozzolana;mc;€ 50,32;;;
B;1.03.4.b.;con l’aggiunta di calce idrata nella proporzione di 100 Kg. per mc. di pozzolana;mc;€ 57,84;;;
;;;;;;;
B;1.03.5.;Fondazione stradale in misto  granulare stabilizzato o granulato riciclato con cemento tipo 325 nelle proporzioni di peso di cemento variante tra il 4 ed il 6% del peso del misto granulare steso con vibrofinitrici, compresa la bitumazione di protezione nella misura  di 1 Kg/mq. di emulsione ER 50, compresa la fornitura dei materiali, prove di laboratorio, lavorazione e costipamento dello strato con idonee macchine in modo da raggiungere il 98% della prova AASHO modificata compreso altresì ogni lavorazione  ed onere per dare il lavoro finito secondo le modalità prescritte ed a perfetta regola d’arte, misurato a materiale costipato:;;;;;
B;1.03.5.a.;realizzato in misto  granulare stabilizzato;mc;€ 78,14;;;
B;1.03.5.b;realizzato con misto granulare riciclato conforme alla norma UNI;mc;€ 73,74;;;
;;;;;;;
B;1.04.; OPERE DI PROTEZIONE STRADALE;;;;;
;;;;;;;
B;1.04.1.;Canalette o scoline, fornite e poste in opera, costituite da embrici in conglomerato vibro compresso confezionato con cemento tipo 42.5 ed inerti di cava e di fiume vagliati e lavati, ubicate secondo la massima pendenza delle scarpate stradali o delle pendici del terreno, compresa la costipazione del terreno di appoggio della canaletta, le sovrapposizioni gli sfridi nonché l'esecuzione del raccordo alla pavimentazione stradale mediante strato di conglomerato bituminoso o calcestruzzo dosato a q.li 2 di cemento tipo 32.5 per ogni mc di inerte ed il saltuario bloccaggio delle canalette:;;;;;
B;1.04.1.a.;tipo con lati interni alla base di 20  e 30 cm, spessore pareti 3,5 — 4.0 cm lunghezza del manufatto 50 cm;m;€ 18,25;;;
B;1.04.1.b.;Tipo con lati interni alla base di 30 e 40 cm, spessore pareti 3,5 — 4.0 cm lunghezza del manufatto 50 cm;m;€ 19,09;;;
;;;;;;;
B;1.04.2.;Grigliato prefabbricato, fornito in opera su piano di posa già predisposto, di in calcestruzzo vibro compresso confezionato con cemento tipo 42.5 ed inerti di cava e di fiume vagliati e lavati, dello spessore di 10 cm circa, con le superfici vuote di forme diverse che, dopo la posa in opera del manufatto saranno riempite con terreno vegetale e successivamente seminate con miscugli erbacei.Nel prezzo è compreso e compensato ogni onere e magistero per dare l'opera finita a perfetta regola d'arte, compreso il perfetto combaciamento degli elementi prefabbricati, escluso solamente il riempimento con terreno vegetale e la semina con miscugli erbacei. Al mq effettivo di rivestimento eseguito.;mq;€ 26,56;;;
;;;;;;;
B;1.04.3.;Barriere metalliche - guardrail, rette o curve, fornite e poste in opera su terreno, su opera d’arte o con funzione di spartitraffico centrale, del tipo corrispondente alle Classi  previste dal D.M. 223/92, aggiornato dal D.L. del 21.06.2004 n. 2367, e successive modificazioni e integrazioni, complete di ogni elemento costruttivo (sostegni, distanziatori, dissipatori, fasce, elementi di raccordo, rifrangenti, bulloniera, piastre di ancoraggio, tirafondi e quant’altro occorre), di ogni magistero, nessuno escluso, ed oneri per la perfetta esecuzione e funzionalità della barriere così come indicato nelle norme tecniche. La qualità dei materiali forniti dovrà essere certificata con le modalità prescritte dalla Circolare Ministeriale dei LL.PP. n. 2357 del 16.5.1996, integrata secondo le specifiche tecniche particolari di cui al capitolato speciale d’appalto, per quantità di barriere superiori a 1.000 ml:;;;;;
B;1.04.3.a.;barriere in acciaio di classe N/1;m;€ 125,40;;;
B;1.04.3.b.;barriere in acciaio di classe N/2;m;€ 125,40;;;
B;1.04.3.c.;barriere in acciaio di classe H/1 laterale;m;€ 213,18;;;
B;1.04.3.d.;barriere in acciaio di classe H/1 spartitraffico;m;€ 235,75;;;
B;1.04.3.e.;barriere in acciaio di classe H/2 su terra;m;€ 238,26;;;
B;1.04.3.f.;barriere di acciaio di classe H/2 su bordo ponte;m;€ 463,98;;;
B;1.04.3.g.;barriere di acciaio di classe H/2 su  spartitraffico;m;€ 416,33;;;
B;1.04.3.h.;barriere di acciaio di classe H/3 su terra;m;€ 351,12;;;
B;1.04.3.i.;barriere in acciaio di classe H/3 su bordo ponte;m;€ 599,41;;;
B;1.04.3.j.;barriere in acciaio di classe H/3 su  spartitraffico;m;€ 509,12;;;
B;1.04.3.k.;barriere in acciaio di classe H/4 su bordo ponte;m;€ 702,24;;;
B;1.04.3.l.;barriere in acciaio di classe H/4 su spartitraffico;m;€ 551,76;;;
B;1.04.3.m.;barriere in acciaio di classe H/4 su terra;m;€ 421,34;;;
B;1.04.3.n.;Sovrapprezzo per quantità di barriere inferiori a 1000 ml complessivi;%;30%;;;
;;;;;;;
B;1.04.4.;"Fornitura di gruppi terminali completi di doppio terminale a ventaglio, corrente e scatolare superiore o di sistemi terminali di inizio e fine impianto con vincolo ""interrato"" o ""in quota"" con nastri sviati:";;;;;
B;1.04.4.a.;Gruppo terminale per barriere in acciaio di classe N/1 con elementi terminali a ventaglio;cad;€ 303,47;;;
B;1.04.4.b.;Gruppo terminale per barriere in acciaio di classe N/2 con elementi terminali a ventaglio;cad;€ 303,47;;;
B;1.04.4.c.;Gruppo terminale per barriere in acciaio di classe H/1 laterale con terminali a ventaglio;cad;€ 353,63;;;
B;1.04.4.c.1;"Terminazione di inizio e fine tratta ""digradante"" con vincolo interrato per barriera H/1 laterale";cad;€ 3 000,00;;;
B;1.04.4.d.;Gruppo terminale per barriere in acciaio di classe H/1spartitraffico con elementi terminali a ventaglio;cad;€ 935,48;;;
B;1.04.4.e.;Gruppo terminale per barriere in acciaio di classe H/2 su terra con elementi terminali a ventaglio;cad;€ 1 053,36;;;
B;1.04.4.e.1;"Terminazione di inizio e fine tratta ""digradante"" con vincolo interrato per barriera H/2 su terra";cad;€ 3 600,00;;;
B;1.04.4.f.;Gruppo terminale per barriere in acciaio di classe H/2  bordo ponte con elementi terminali a ventaglio;cad;€ 1 524,86;;;
B;1.04.4.f.1;"Terminazione di inizio e fine tratta ""digradante"" con vincolo interrato per barriera H/2 bordo ponte";cad;€ 4 800,00;;;
B;1.04.4.g.;Gruppo terminale per barriere in acciaio di classe H/2 spartitraffico con elementi terminali a ventaglio;cad;€ 2 079,13;;;
B;1.04.4.g.1;"Terminazione di inizio e fine tratta ""digradante"" con vincolo interrato per barriera H/2 spartitraffico";cad;€ 7 500,00;;;
B;1.04.4.h.;Gruppo terminale per barriere in acciaio di classe H/3 su terra con elementi terminali a ventaglio;cad;€ 1 201,33;;;
B;1.04.4.h.1;"Sistema di inizio e fine impianto ""in quota"" con nastri d'invito sviati di classe H3 su terra";cad;€ 4 500,00;;;
B;1.04.4.i.;Gruppo terminale per barriere in acciaio di classe H/3  bordo ponte ;cad;€ 2 317,39;;;
;1.04.4.i.1;"Sistema di inizio e fine impianto ""in quota"" con nastri d'invito sviati per barriera H3 bordo ponte";cad;€ 4 500,00;;;
;1.04.4.j.;Gruppo terminale per barriere in acciaio di classe H/3 spartitraffico rilevato;cad;€ 2 136,82;;;
;1.04.4.j.1;"Terminazione di inizio e fine tratta ""digradante"" con vincolo interrato per barriera H/3 spartitraffico rilevato";cad;€ 9 000,00;;;
;1.04.4.k.;Gruppo terminale per barriere in acciaio di classe H/4  bordo ponte ;cad;€ 2 457,84;;;
;1.04.4.k.1;"Sistema di inizio e fine impianto ""in quota"" con nastri d'invito sviati per barriera H4 bordo ponte";cad;€ 5 100,00;;;
;1.04.4.l.;Gruppo terminale per barriere in acciaio di classe H/4 spartitraffico rilevato;cad;€ 2 131,80;;;
;1.04.4.l.1;"Terminazione di inizio e fine tratta ""digradante"" con vincolo interrato per barriera H/4 spartitraffico rilevato";cad;€ 10 200,00;;;
;1.04.4.m.;Gruppo terminale per barriere in acciaio di classe H/4 spartitraffico ponte;cad;€ 2 282,28;;;
;1.04.4.m.1;"Terminazione di inizio e fine tratta ""digradante"" con vincolo interrato per barriera H/4 spartitraffico rilevato";cad;€ 10 200,00;;;
;1.04.4.n.;Gruppo terminale per barriere in acciaio di classe H/4 su terra;cad;€ 1 286,60;;;
;1.04.4.n.1;"Sistema di inizio e fine impianto ""in quota"" con nastri d'invito sviati di classe H4 su terra";cad;€ 5 100,00;;;
;;;;;;;
B;1.04.5.;Rimozione di barriera metallica esistente completa di fascia, paletto, dispositivi rifrangenti, corrimano e bulloni.;m;€ 12,40;;;
;;;;;;;
B;1.04.6.;Rimozione di barriera metallica esistente, su terra, completa di fascia, paletto, dispositivi rifrangenti, bulloni ed eventuale distanziatore.;m;€ 12,40;;;
;;;;;;;
B;1.04.7.;Demolizione di barriere stradali in calcestruzzo o parapetti metallici , escluso trasporto a discarica.                                                                    ;m;€ 9,30;;;
;;;;;;;
B;1.04.8.;Esecuzione di rimozione di barriera tipo New Jersey, ovvero ricollocazione in opera, mediante l’impiego di idonei mezzi meccanici, compreso ogni onere per il trasporto e sistemazione a deposito oppure del prelievo dei depositi e trasporto e sistemazione sul luogo di impiego.;m;€ 21,07;;;
;;;;;;;
B;1.04.9.;Formazione di testate di barriere centrali consistenti nella formazione di blocco in calcestruzzo e interramento della parte terminale delle barriere per una lunghezza di non meno 3 m. al disotto del livello stradale completa di un paletto di adeguata altezza affogato nel calcestruzzo e con fissate le parti  terminali delle barriere compreso lo scavo necessario.;cad;€ 402,11;;;
;;;;;;;
B;1.04.10.;Barriera antiurto prefabbricata in calcestruzzo cementizio vibrocompresso armato, confezionato con cemento tipo 42.5 ed inerti di cava o di fiume vagliati e lavati, avente la sezione opportunamente sagomata, con pareti a faccia vista.Nel prezzo è compresa anche l'armatura del manufatto, che dovrà essere eseguita secondo la sezione trasversale, ed i vari elementi di armatura collegati nel senso longitudinale, eventuali catarifrangenti opportunamente distanziati, il trasporto sul luogo di impiego, la posa in opera mediante opportuni ancoraggi ed ogni altro onere e/o magistero per dare l'opera finita a perfetta regola d'arte:;;;;;
B;1.04.10.a.;"del tipo da porre al centro della strada, con profilo denominato New Jersey, alta 81 cm circa, sagomata in entrambi le facce, con dimensioni di 60 cm alla base di appoggio 15 cm in sommità;";m;€ 307,66;;;
B;1.04.10.b.;"del tipo da porre lateralmente alla strada, lungo il senso di marcia, alta 81 cm circa, con una faccia verticale e l'altra sagomata, con dimensioni di 37 cm alla base di appoggio e 15 cm in sommità;";m;€ 273,74;;;
B;1.04.10.c.;"sovrapprezzo alle barriere realizzate con cemento bianco;";%;8%;;;
B;1.04.10.d.;diminuzione dei prezzi per barriere realizzate senza armatura o debolmente armati;%;-20%;;;
;;;;;;;
